freq,crops,strucpro,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,W1000,PR_HU_EU,AL	: 	203.70 	205.00 	205.00 	202.90 	110.40 	113.90 	118.80 p	128.30 	128.40 	104.90 	108.50 
A,W1000,PR_HU_EU,AT	318.93 	266.49 	302.45 	260.34 	331.43 	367.13 	309.92 	319.79 	328.04 	336.99 	310.76 	249.42 
A,W1000,PR_HU_EU,BA	31.80 e	26.22 e	32.21 e	36.31 e	28.01 e	40.41 e	39.29 e	44.70 e	42.01 e	26.68 b	26.68 e	: 
A,W1000,PR_HU_EU,BE	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1000,PR_HU_EU,BG	325.60 	132.73 	261.82 	211.08 d	202.44 	201.53 	178.53 	159.10 	178.30 	161.72 	147.80 	134.75 
A,W1000,PR_HU_EU,CH	: 	106.31 e	106.31 	133.04 	100.29 	140.64 	123.85 	104.28 	76.13 	124.41 	: 	: 
A,W1000,PR_HU_EU,CY	20.39 	20.19 	21.74 	23.37 	22.87 	22.38 	22.76 	23.14 	23.13 	25.04 	21.53 p	20.53 p
A,W1000,PR_HU_EU,CZ	74.72 	63.53 	90.61 	75.91 	79.77 	103.70 	67.96 	90.38 	90.06 	91.76 	76.98 	69.28 
A,W1000,PR_HU_EU,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,W1000,PR_HU_EU,DK	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1000,PR_HU_EU,EE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.01 	0.02 
A,W1000,PR_HU_EU,EL	1082.78 	1071.44 	1037.52 	1027.48 	1012.58 	933.15 	807.57 	815.79 	828.28 	820.52 	564.21 	820.57 
A,W1000,PR_HU_EU,ES	7480.02 	6221.66 	5799.13 	6102.85 	5387.40 	6983.26 	5745.45 	6817.77 	6086.92 	5902.04 	4822.76 	5387.27 
A,W1000,PR_HU_EU,EU27_2020	26618.73 	24456.65 	25171.31 	25481.76 	22993.58 	27627.99 	24220.26 	25974.88 	24598.83 	25591.90 	22444.91 	22599.50 
A,W1000,PR_HU_EU,FI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1000,PR_HU_EU,FR	5540.84 	6204.91 	6258.40 	6018.13 	5011.05 	6267.79 	5489.65 	5857.87 b	5073.59 	6199.95 	6205.26 	4964.22 
A,W1000,PR_HU_EU,HR	181.10 	134.94 	154.23 	123.65 	116.31 	146.24 	108.30 	123.55 	116.21 	117.50 	94.91 	99.89 
A,W1000,PR_HU_EU,HU	451.12 	406.03 	472.35 	476.49 	529.59 	533.07 	457.25 	435.05 	437.75 	414.55 	410.98 	386.32 e
A,W1000,PR_HU_EU,IE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1000,PR_HU_EU,IS	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 n	0.00 n	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1000,PR_HU_EU,IT	8010.36 	6930.79 	7649.48 	8248.53 	7169.75 	8513.64 	7900.12 	8222.36 	8149.40 	8437.97 	6668.83 	7637.64 
A,W1000,PR_HU_EU,LT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 n	0.00 n
A,W1000,PR_HU_EU,LU	13.43 	16.63 	14.74 	11.04 	10.89 	18.10 	10.16 	12.95 	13.36 	11.81 	10.88 	9.95 
A,W1000,PR_HU_EU,LV	0.00 	0.00 	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 	0.00 
A,W1000,PR_HU_EU,ME	24.15 	17.13 	23.09 	28.93 p	22.20 p	24.44 p	20.86 p	21.27 p	23.00 p	19.95 p	15.29 p	: 
A,W1000,PR_HU_EU,MK	292.07 	195.89 	324.77 	333.32 	180.35 	294.50 	258.96 	317.55 	269.13 	265.56 	149.01 	205.57 
A,W1000,PR_HU_EU,MT	5.26 	5.36 	5.11 	3.71 	3.63 	4.11 	3.24 	2.89 	2.64 	3.60 	2.88 	1.90 
A,W1000,PR_HU_EU,NL	0.00 	0.00 	1.48 e	1.40 	1.60 e	1.70 e	1.60 e	1.70 e	1.93 e	2.10 e	2.46 e	2.33 e
A,W1000,PR_HU_EU,NO	: 	: 	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	: 	0.00 	0.00 	0.00 
A,W1000,PR_HU_EU,PL	3.10 	3.40 	3.00 	3.18 	2.77 	3.92 	3.21 	3.60 	3.70 	5.20 	7.40 	6.50 
A,W1000,PR_HU_EU,PT	827.75 	818.87 	935.08 	800.74 	896.09 	802.08 	864.85 	853.38 	977.67 	903.51 	999.74 	919.41 p
A,W1000,PR_HU_EU,RO	988.13 	779.77 	794.94 	733.11 	1063.34 	1140.57 	973.99 	932.77 	1005.28 	804.80 	801.10 	712.74 
A,W1000,PR_HU_EU,RS	199.96 	122.49 	170.65 	145.83 	145.90 	149.59 	163.52 	160.30 	155.72 	162.48 	131.53 	129.74 
A,W1000,PR_HU_EU,SE	0.05 	0.09 	0.07 	0.07 	0.05 	0.06 	0.07 	0.16 	0.13 	0.14 	0.31 	0.22 
A,W1000,PR_HU_EU,SI	100.20 	94.28 	117.70 	94.89 	89.52 	127.13 	105.20 	103.78 	84.30 	81.89 	78.72 	67.92 
A,W1000,PR_HU_EU,SK	53.22 	38.45 	50.16 	37.83 	45.86 	52.42 	43.04 	46.92 	44.07 	44.84 	40.70 	46.24 
A,W1000,PR_HU_EU,TR	4011.00 	4175.00 	3650.00 	4000.00 	4200.00 	3933.00 	4100.00 	4209.00 	3670.00 	4165.00 	3400.00 	3468.00 
A,W1000,PR_HU_EU,UK	: 	2.70 	4.01 p	4.00 	9.31 	15.19 e	14.60 	: 	: 	: 	: 	: 
A,W1000,PR_HU_EU,XK	27.60 	26.70 	26.40 	22.20 	15.40 	27.30 	19.30 	26.33 	26.53 	23.51 	9.71 	: 
A,W1100,PR_HU_EU,AL	: 	173.20 	: 	: 	132.00 e	94.40 	96.80 	100.90 p	109.10 e	109.10 	89.20 e	92.22 e
A,W1100,PR_HU_EU,AT	318.93 	266.49 	302.45 	260.34 	331.43 	367.13 	309.92 	319.79 	328.04 	336.99 	310.76 	249.42 
A,W1100,PR_HU_EU,BA	23.80 e	21.38 e	24.91 e	27.48 e	23.12 e	32.78 e	28.74 e	31.55 e	30.46 e	18.86 b	19.06 e	: 
A,W1100,PR_HU_EU,BE	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1100,PR_HU_EU,BG	305.90 	124.93 	244.78 	199.55 d	187.29 	186.13 	164.88 	146.31 	164.91 	148.03 	135.48 	124.25 
A,W1100,PR_HU_EU,CH	: 	106.31 e	106.31 	131.74 	98.79 	138.94 	122.43 	104.28 	76.13 	124.41 	126.20 	: 
A,W1100,PR_HU_EU,CY	16.50 	16.26 	18.38 	18.52 	18.96 	17.90 	18.98 	19.65 	19.61 	21.80 	18.26 p	17.30 p
A,W1100,PR_HU_EU,CZ	74.72 	63.53 	90.61 	75.91 	79.77 	103.70 	67.96 	90.38 	90.06 	91.76 	76.98 	69.28 
A,W1100,PR_HU_EU,DE	1139.48 	1244.82 	1199.03 	1225.57 	1014.24 	1403.60 	1125.00 	1149.54 	1151.47 	1223.32 	1174.05 	1059.77 
A,W1100,PR_HU_EU,DK	: 	: 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1100,PR_HU_EU,EE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 n	0.00 n
A,W1100,PR_HU_EU,EL	599.42 	602.14 	605.66 	543.82 	486.07 	465.11 	435.47 	442.83 	480.35 	450.35 	337.85 	447.63 
A,W1100,PR_HU_EU,ES	7224.01 	5978.49 	5527.10 	5819.60 	5119.13 	6673.48 	5430.31 	6529.22 	5778.53 	5608.93 	4474.37 	5021.89 
A,W1100,PR_HU_EU,EU27_2020	: 	: 	: 	: 	21074.39 	25654.37 	: 	: 	: 	23796.23 	20912.62 	20703.30 
A,W1100,PR_HU_EU,FI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1100,PR_HU_EU,FR	5501.21 	6156.92 	6212.82 	5968.64 	4975.89 	6232.74 	5442.46 	5808.13 b	5035.48 	6154.22 	6163.49 	4916.86 
A,W1100,PR_HU_EU,HR	: 	: 	: 	: 	115.04 e	144.77 	106.74 	121.08 	115.10 	115.53 	93.16 	98.58 
A,W1100,PR_HU_EU,HU	433.97 	390.46 	457.92 	462.69 	514.26 	518.92 	445.46 	422.58 	429.89 	406.52 	403.62 	379.41 e
A,W1100,PR_HU_EU,IE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1100,PR_HU_EU,IS	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 n	0.00 n	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1100,PR_HU_EU,IT	6902.04 	5932.17 	6836.00 	7204.90 	6191.89 	7485.53 	6853.75 	7153.98 	7106.13 	7444.55 	5845.21 	6610.19 
A,W1100,PR_HU_EU,LT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 n	0.00 n
A,W1100,PR_HU_EU,LU	13.42 	16.62 	14.72 	11.03 	10.81 	18.08 	10.11 	12.88 	13.26 	11.72 	10.80 	9.89 
A,W1100,PR_HU_EU,LV	0.00 	0.00 	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 	0.00 
A,W1100,PR_HU_EU,ME	22.04 	14.69 	20.06 	25.78 p	19.39 p	23.42 p	19.52 p	19.14 p	20.22 p	17.61 p	13.04 p	: 
A,W1100,PR_HU_EU,MK	249.18 	166.56 	277.29 	281.68 	146.41 	247.71 	210.83 	249.30 	221.60 	214.63 	110.35 	160.14 
A,W1100,PR_HU_EU,MT	4.85 	4.95 	4.75 	3.47 	3.42 	3.85 	3.05 	2.72 	2.48 	3.38 	2.73 	1.79 
A,W1100,PR_HU_EU,NL	0.00 	0.00 	1.48 e	1.40 	1.60 e	1.70 e	1.60 e	1.70 e	1.93 e	2.10 e	2.46 e	2.33 e
A,W1100,PR_HU_EU,NO	: 	: 	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	: 	0.00 	0.00 	0.00 
A,W1100,PR_HU_EU,PL	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	: 	: 	: 	0.00 n	0.00 n	0.00 n
A,W1100,PR_HU_EU,PT	810.27 	804.44 	916.05 	778.60 	874.35 	784.50 	846.51 	835.54 	958.06 	888.02 	983.01 	903.51 
A,W1100,PR_HU_EU,RO	932.75 	743.81 	752.85 	694.30 	1015.66 	1069.17 	918.27 	880.31 	953.35 	762.59 	761.38 	676.96 
A,W1100,PR_HU_EU,RS	152.77 	106.57 	139.02 	119.58 	119.70 	116.68 	130.10 	127.40 	126.36 	131.85 	106.73 	102.76 
A,W1100,PR_HU_EU,SE	0.05 	0.09 	0.07 	0.07 	0.05 	0.06 	0.07 	0.16 	0.13 	0.14 	0.31 	0.22 
A,W1100,PR_HU_EU,SI	100.18 	94.21 	117.59 	94.78 	89.42 	126.96 	105.04 	103.64 	84.16 	81.73 	78.57 	67.78 
A,W1100,PR_HU_EU,SK	52.84 	38.19 	49.66 	37.43 	45.14 	51.04 	42.69 	46.25 	43.68 	44.55 	40.13 	46.24 
A,W1100,PR_HU_EU,TR	455.00 	445.00 	424.00 	473.00 	488.00 	464.00 	451.00 	456.00 	383.00 	383.00 	297.00 	381.00 
A,W1100,PR_HU_EU,UK	0.00 n	2.70 	4.01 p	4.00 	9.31 	15.19 e	14.60 	: 	: 	: 	: 	: 
A,W1100,PR_HU_EU,XK	20.50 	19.50 	19.40 	14.70 	12.20 	22.30 	14.80 	20.05 	19.09 	16.46 	6.31 	: 
A,W1200,PR_HU_EU,AL	: 	30.50 	: 	: 	70.90 e	16.00 	17.10 e	17.90 p	19.20 e	19.30 	15.70 e	16.28 e
A,W1200,PR_HU_EU,AT	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1200,PR_HU_EU,BA	8.00 e	4.84 e	7.30 e	8.82 e	4.89 e	7.63 e	10.55 e	13.14 e	11.55 e	7.82 b	7.62 e	: 
A,W1200,PR_HU_EU,BE	0.00 	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1200,PR_HU_EU,BG	19.70 	7.80 	17.04 	11.54 d	15.15 	15.40 	13.66 	12.79 	13.39 	13.69 	12.32 	10.49 
A,W1200,PR_HU_EU,CH	: 	0.00 n	0.00 n	1.40 e	1.50 e	1.70 e	1.42 e	: 	0.00 n	: 	: 	: 
A,W1200,PR_HU_EU,CY	3.82 	3.87 	3.31 	4.79 	3.87 	4.44 	3.71 	3.34 	3.45 	3.07 	3.10 p	3.05 p
A,W1200,PR_HU_EU,CZ	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1200,PR_HU_EU,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,W1200,PR_HU_EU,DK	: 	: 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1200,PR_HU_EU,EE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 n	0.00 n
A,W1200,PR_HU_EU,EL	327.95 	293.77 	253.71 	315.27 	310.06 	293.43 	273.27 	273.06 	264.44 	289.78 	152.41 	273.04 
A,W1200,PR_HU_EU,ES	254.26 	241.77 	270.74 	281.96 	266.97 	308.41 	314.14 	287.55 	307.50 	292.39 	347.71 	363.99 
A,W1200,PR_HU_EU,EU27_2020	: 	: 	: 	: 	1694.59 	1789.90 	: 	: 	: 	1678.62 	1422.31 	1760.88 
A,W1200,PR_HU_EU,FI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1200,PR_HU_EU,FR	37.90 	43.82 e	41.57 e	45.14 e	34.27 e	34.12 e	46.28 e	49.74 e	38.11 e	45.74 	41.77 	47.36 
A,W1200,PR_HU_EU,HR	: 	: 	: 	: 	1.26 	1.47 	1.56 	2.48 	1.11 	1.98 	1.75 	1.30 
A,W1200,PR_HU_EU,HU	13.76 	15.57 	11.58 	10.97 	12.21 	11.29 	10.04 	7.66 	4.67 	4.62 	4.61 	4.34 e
A,W1200,PR_HU_EU,IE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1200,PR_HU_EU,IS	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 n	0.00 n	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1200,PR_HU_EU,IT	1108.33 	998.63 	813.48 	997.01 	977.86 	1028.11 	1009.11 	1039.84 	1014.66 	966.26 	798.60 	1002.69 
A,W1200,PR_HU_EU,LT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 n	0.00 n
A,W1200,PR_HU_EU,LU	0.01 	0.01 	0.01 	0.01 	0.09 	0.03 	0.05 	0.06 	0.09 	0.09 	0.07 	0.07 
A,W1200,PR_HU_EU,LV	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1200,PR_HU_EU,ME	2.11 	2.44 	3.03 	3.14 p	2.81 p	1.02 p	1.34 p	2.13 p	2.78 p	2.34 p	2.26 p	: 
A,W1200,PR_HU_EU,MK	42.90 	29.33 	47.48 	51.64 	33.94 	46.79 	48.13 	68.26 	47.53 	50.92 	38.66 	45.43 
A,W1200,PR_HU_EU,MT	0.40 	0.41 	0.36 	0.24 	0.21 	0.26 	0.19 	0.17 	0.16 	0.22 	0.15 	0.11 
A,W1200,PR_HU_EU,NL	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1200,PR_HU_EU,NO	: 	: 	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	: 	0.00 	0.00 	0.00 
A,W1200,PR_HU_EU,PL	0.00 e	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	: 	: 	: 	0.00 n	0.00 n	0.00 n
A,W1200,PR_HU_EU,PT	17.48 	14.44 	19.03 	22.14 	21.74 	17.59 	18.34 	17.85 	19.60 	15.49 	16.73 	15.90 p
A,W1200,PR_HU_EU,RO	55.38 	35.96 	42.09 	38.81 	47.68 	71.41 	55.72 	52.45 	51.93 	42.21 	39.73 	35.77 
A,W1200,PR_HU_EU,RS	47.19 	15.92 	31.63 	26.25 	26.20 	32.91 	33.51 	32.90 	29.34 	30.63 	24.79 	26.98 
A,W1200,PR_HU_EU,SE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1200,PR_HU_EU,SI	0.00 	0.07 	0.12 	0.11 	0.11 	0.17 	0.16 	0.15 	0.14 	0.16 	0.15 	0.13 
A,W1200,PR_HU_EU,SK	0.38 	0.26 	0.50 	0.41 	0.72 	1.38 	0.35 	0.66 	0.39 	0.29 	0.57 	0.00 n
A,W1200,PR_HU_EU,TR	2133.00 	2167.00 	1892.00 	1991.00 	2109.00 	1945.00 	2050.00 	2218.00 	1857.00 	2100.00 	1799.00 	1826.00 
A,W1200,PR_HU_EU,UK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 
A,W1200,PR_HU_EU,XK	7.10 	7.10 	7.00 	7.50 	3.20 	5.00 	4.50 	6.28 	7.44 	7.05 	3.40 	: 
A,W1300,PR_HU_EU,AL	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 n	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,AT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,BA	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,BE	0.00 	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1300,PR_HU_EU,BG	0.00 	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1300,PR_HU_EU,CH	: 	0.00 	0.00 	0.00 n	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	: 
A,W1300,PR_HU_EU,CY	0.07 	0.06 	0.05 	0.06 	0.04 	0.09 	0.07 	0.15 	0.07 	0.17 	0.18 p	0.18 p
A,W1300,PR_HU_EU,CZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,DE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,DK	: 	: 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1300,PR_HU_EU,EE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,EL	155.41 	175.52 	178.15 	168.40 	216.44 	174.61 	98.84 	99.89 	83.49 	80.38 	73.95 	99.89 
A,W1300,PR_HU_EU,ES	1.75 	1.40 	1.29 	1.30 	1.30 	1.37 	0.99 	1.00 	0.90 	0.72 	0.68 	1.39 
A,W1300,PR_HU_EU,EU27_2020	: 	: 	: 	174.10 	218.68 	176.99 	100.82 	101.44 	: 	: 	: 	: 
A,W1300,PR_HU_EU,FI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,FR	1.72 	4.17 e	4.01 e	4.35 e	0.90 e	0.92 e	0.92 e	0.12 e	0.00 e	0.00 	0.00 n	0.00 n
A,W1300,PR_HU_EU,HR	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 	0.00 n	0.00 n	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,HU	0.00 	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	: 	: 
A,W1300,PR_HU_EU,IE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,IS	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 n	0.00 n	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,IT	: 	: 	: 	0.00 n	0.00 	0.00 	0.00 	0.28 	0.28 	0.28 	0.28 	0.28 
A,W1300,PR_HU_EU,LT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,LU	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,LV	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,ME	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,NL	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,NO	: 	: 	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	: 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,PL	0.00 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 	0.00 	0.00 	0.00 n	0.00 n	0.00 n
A,W1300,PR_HU_EU,PT	0.00 n	: 	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	: 	: 	0.00 n	0.00 n
A,W1300,PR_HU_EU,RO	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,RS	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1300,PR_HU_EU,SE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,SI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,SK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,W1300,PR_HU_EU,TR	1424.00 	1563.00 	1335.00 	1537.00 	1603.00 	1524.00 	1599.00 	1534.00 	1430.00 	1682.00 	1304.00 	1261.00 
A,W1300,PR_HU_EU,UK	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 
